EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 06-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TN   : minimum temperature in 0.1 &#176;C
23-27 Q_TN : Quality code for TN (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station POLAND, WROCLAW (STAID: 210).
Blended and updated with sources: 100660 912424 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TN, Q_TN
100660,19510101, -141,    0
100660,19510102,  -51,    0
100660,19510103,   13,    0
100660,19510104,  -29,    0
100660,19510105,  -25,    0
100660,19510106,   26,    0
100660,19510107,   -5,    0
100660,19510108,   29,    0
100660,19510109,   14,    0
100660,19510110,  -21,    0
100660,19510111,  -17,    0
100660,19510112,    2,    0
100660,19510113,  -22,    0
100660,19510114,   -3,    0
100660,19510115,    7,    0
100660,19510116,    7,    0
100660,19510117,   -7,    0
100660,19510118,    2,    0
100660,19510119,   16,    0
100660,19510120,    5,    0
100660,19510121,  -30,    0
100660,19510122, -101,    0
100660,19510123,  -33,    0
100660,19510124,  -73,    0
100660,19510125, -102,    0
100660,19510126,  -65,    0
100660,19510127,  -34,    0
100660,19510128,  -63,    0
100660,19510129,  -44,    0
100660,19510130,  -70,    0
100660,19510131,  -79,    0
100660,19510201,  -54,    0
100660,19510202,  -81,    0
100660,19510203,  -81,    0
100660,19510204,  -67,    0
100660,19510205,  -21,    0
100660,19510206,   29,    0
100660,19510207,   -1,    0
100660,19510208,   -8,    0
100660,19510209,   14,    0
100660,19510210,    7,    0
100660,19510211,   22,    0
100660,19510212,  -15,    0
100660,19510213,  -14,    0
100660,19510214,   10,    0
100660,19510215,   -2,    0
100660,19510216,  -10,    0
100660,19510217,   -4,    0
100660,19510218,  -12,    0
100660,19510219,  -11,    0
100660,19510220,    2,    0
100660,19510221,   -4,    0
100660,19510222,  -28,    0
100660,19510223,  -30,    0
100660,19510224,    7,    0
100660,19510225,    5,    0
